Month,Mkt (vwretd),SMB,HML,Risk-Free,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
20010430,0.0635,0.0022,-0.0447,0.0039,0.02327,0.03256,0.01015,0.0498,0.05549,0.05302,0.05615,0.06117,0.08156,0.06691
20010531,0.0103,0.0293,0.0274,0.0032,0.04704,0.0645,0.05314,0.08099,0.06362,0.03518,0.03677,0.03303,0.02786,0.00929
20010629,-0.0312,0.0639,-0.0208,0.0028,0.02355,0.01657,-0.00347,0.01437,0.01895,0.03962,0.00727,-0.0105,-0.01527,-0.03335
20010731,-0.0086,-0.0419,0.0542,0.003,-0.0045,-0.00862,0.00601,-0.00497,-0.02305,-0.01674,-0.01524,0.00076,-0.00607,-0.00533
20010831,-0.0496,0.0211,0.0338,0.0031,-0.03209,-0.00601,-0.01356,0.00292,-0.00533,-0.00017,-0.013,-0.01181,-0.03364,-0.052
20010928,-0.0754,-0.0643,0.0175,0.0028,-0.09677,-0.08975,-0.09556,-0.08276,-0.09351,-0.10753,-0.11264,-0.10436,-0.10676,-0.06492
20011031,0.0037,0.0683,-0.0703,0.0022,0.03002,0.02721,0.02505,0.03243,0.02526,0.02117,0.03827,0.02646,0.01828,0.00193
20011130,0.0614,0.0039,0.0077,0.0017,0.0466,0.03972,0.03312,0.03067,0.05469,0.04697,0.06047,0.06113,0.07425,0.06258
20011231,0.0184,0.0507,0.0038,0.0015,0.03516,0.0347,0.03881,0.0433,0.04039,0.03879,0.05068,0.06268,0.04734,0.01295
20020131,-0.0195,0.0103,0.0357,0.0014,0.07966,0.03916,0.02409,0.02409,0.00404,0.01238,-0.00332,-0.00872,0.0007,-0.02211
20020228,-0.0015,-0.017,0.0398,0.0013,-0.01318,0.00068,0.00241,-0.00847,0.0072,0.01245,0.01781,0.02127,0.00741,-0.00281
20020328,0.0378,0.0431,0.0113,0.0013,0.06699,0.04822,0.03932,0.04847,0.06278,0.07142,0.07521,0.06275,0.05867,0.03381
20020430,-0.0426,0.0579,0.0429,0.0015,0.0095,0.02001,0.02592,0.03691,0.05147,0.03313,0.02946,0.00944,0.00058,-0.05351
20020531,-0.0047,-0.0367,0.0246,0.0014,-0.00203,0.01035,0.02596,-0.0002,-0.01423,-0.02943,-0.01919,-0.01783,0.00261,-0.00225
20020628,-0.0671,0.0355,0.0163,0.0013,-0.01074,-0.05086,-0.0353,-0.00834,-0.01059,-0.01504,-0.03732,-0.0609,-0.06459,-0.06937
20020731,-0.0803,-0.0506,-0.0369,0.0015,-0.08662,-0.07405,-0.0755,-0.09029,-0.11317,-0.12623,-0.13034,-0.09297,-0.09505,-0.07238
20020830,0.0101,-0.0221,0.022,0.0014,0.02954,0.00589,0.01085,-0.00086,0.00802,0.01555,0.02952,0.01927,0.00709,0.01097
20020930,-0.0994,0.0273,0.0119,0.0014,0.00783,-0.042,-0.03968,-0.03918,-0.0489,-0.04641,-0.08785,-0.06834,-0.0905,-0.10343
20021031,0.0608,-0.0303,-0.0667,0.0014,-0.03411,0.00135,-0.01752,-0.0224,-0.00056,-0.00529,-0.00979,0.01512,0.02829,0.07563
20021129,0.0485,0.0309,-0.0161,0.0012,-0.04042,0.04483,0.02355,0.03883,0.05234,0.04703,0.05575,0.05126,0.06111,0.04836
20021231,-0.0444,-0.0049,0.0391,0.0011,0.12224,-0.00064,0.01555,-0.00817,-0.001,-0.00465,-0.01859,-0.01696,-0.02409,-0.05026
